Date,Day,Away,Home,Away Score,Home Score,Away p/27,Home p/27,Night game,Away starterID,Away starter,Home starter ID,Home starter,Home
20190320,Wed,SEA,OAK,9,7,9,7,1,gonzm005,Marco Gonzales,fierm001,Michael Fiers,1
20190321,Thu,SEA,OAK,5,4,3.75,3,1,kikuy001,Yusei Kikuchi,estrm001,Marco Estrada,1
20190328,Thu,PIT,CIN,3,5,3,5.625,0,tailj001,Jameson Taillon,castl003,Luis Castillo,1
20190328,Thu,ARI,LAN,5,12,5,13.5,0,greiz001,Zack Greinke,ryu-h001,Hyun-Jin Ryu,1
20190328,Thu,COL,MIA,6,3,6,3,0,freek001,Kyle Freeland,urenj001,Jose Urena,1
20190328,Thu,SLN,MIL,4,5,4,5.625,0,mikom001,Miles Mikolas,chacj001,Jhoulys Chacin,1
20190328,Thu,ATL,PHI,4,10,4,11.25,0,tehej001,Julio Teheran,nolaa001,Aaron Nola,1
20190328,Thu,SFN,SDN,0,2,0,2.25,0,bumgm001,Madison Bumgarner,lauee001,Eric Lauer,1
20190328,Thu,NYN,WAS,2,0,2,0,0,degrj001,Jacob deGrom,schem001,Max Scherzer,1
20190328,Thu,CHA,KCA,3,5,3,5.625,1,rodoc001,Carlos Rodon,kellb003,Brad Keller,1
20190328,Thu,CLE,MIN,0,2,0,2.25,0,klubc001,Corey Kluber,berrj001,Jose Berrios,1
20190328,Thu,BAL,NYA,2,7,2,7.875,0,casha001,Andrew Cashner,tanam001,Masahiro Tanaka,1
20190328,Thu,ANA,OAK,0,4,0,4.5,0,cahit001,Trevor Cahill,fierm001,Michael Fiers,1
20190328,Thu,BOS,SEA,4,12,4,13.5,0,salec001,Chris Sale,gonzm005,Marco Gonzales,1
20190328,Thu,HOU,TBA,5,1,5,1,0,verlj001,Justin Verlander,snelb001,Blake Snell,1
20190328,Thu,CHN,TEX,12,4,12,4,0,lestj001,Jon Lester,minom001,Mike Minor,1
20190328,Thu,DET,TOR,2,0,1.8,0,0,zimmj003,Jordan Zimmermann,strom001,Marcus Stroman,1
20190329,Fri,ARI,LAN,5,4,3.461538462,2.769230769,1,ray-r002,Robbie Ray,strir001,Ross Stripling,1
20190329,Fri,COL,MIA,6,1,6,1,1,marqg001,German Marquez,richt001,Trevor Richards,1
20190329,Fri,SLN,MIL,9,5,9,5,1,flahj002,Jack Flaherty,peraf001,Freddy Peralta,1
20190329,Fri,SFN,SDN,1,4,1,4.5,1,holld003,Derek Holland,luccj001,Joey Lucchesi,1
20190329,Fri,ANA,OAK,6,2,6,2,1,harvm001,Matt Harvey,estrm001,Marco Estrada,1
20190329,Fri,BOS,SEA,7,6,7,6,1,eovan001,Nathan Eovaldi,kikuy001,Yusei Kikuchi,1
20190329,Fri,HOU,TBA,2,4,2,4.5,1,coleg001,Gerrit Cole,mortc002,Charlie Morton,1
20190329,Fri,DET,TOR,0,6,0,6.75,1,boydm001,Matt Boyd,shoem001,Matt Shoemaker,1
20190330,Sat,ARI,LAN,5,18,5,20.25,1,godlz001,Zack Godley,maedk001,Kenta Maeda,1
20190330,Sat,COL,MIA,3,7,3,7.875,1,andet002,Tyler Anderson,lopep002,Pablo Lopez,1
20190330,Sat,SLN,MIL,2,4,2,4.5,1,hudsd002,Dakota Hudson,woodb005,Brandon Woodruff,1
20190330,Sat,ATL,PHI,6,8,6,9,0,wilsb003,Bryse Wilson,piven001,Nick Pivetta,1
20190330,Sat,SFN,SDN,3,2,3,2,1,rodrd001,Dereck Rodriguez,margn001,Nick Margevicius,1
20190330,Sat,NYN,WAS,11,8,11,8,0,syndn001,Noah Syndergaard,stras001,Stephen Strasburg,1
20190330,Sat,CHA,KCA,6,8,6,9,0,loper003,Reynaldo Lopez,junij001,Jake Junis,1
20190330,Sat,CLE,MIN,2,1,2,1,0,bauet001,Trevor Bauer,odorj001,Jake Odorizzi,1
20190330,Sat,BAL,NYA,5,3,5,3,0,karnn001,Nathan Karns,paxtj001,James Paxton,1
20190330,Sat,ANA,OAK,2,4,2,4.5,1,penaf002,Felix Pena,andeb004,Brett Anderson,1
20190330,Sat,BOS,SEA,5,6,5,6.75,1,rodre004,Eduardo Rodriguez,leakm001,Mike Leake,1
20190330,Sat,HOU,TBA,1,3,1,3.375,1,mchuc001,Collin McHugh,glast001,Tyler Glasnow,1
20190330,Sat,CHN,TEX,6,8,6,9,1,darvy001,Yu Darvish,volqe001,Edinson Volquez,1
20190330,Sat,DET,TOR,0,3,0,3.375,0,turns003,Spencer Turnbull,sanca006,Aaron Sanchez,1
20190331,Sun,PIT,CIN,5,0,5,0,0,willt002,Trevor Williams,grays001,Sonny Gray,1
20190331,Sun,ARI,LAN,7,8,7,9,0,weavl001,Luke Weaver,buehw001,Walker Buehler,1
20190331,Sun,COL,MIA,0,3,0,3.375,0,grayj003,Jon Gray,alcas001,Sandy Alcantara,1
20190331,Sun,SLN,MIL,4,5,4,5.625,0,wachm001,Michael Wacha,burnc002,Corbin Burnes,1
20190331,Sun,ATL,PHI,1,5,1,5.625,1,wrigk001,Kyle Wright,arrij001,Jake Arrieta,1
20190331,Sun,SFN,SDN,1,3,1,3.375,0,samaj001,Jeff Samardzija,paddc001,Chris Paddack,1
20190331,Sun,NYN,WAS,5,6,5.192307692,6.230769231,0,wheez001,Zack Wheeler,corbp001,Patrick Corbin,1
20190331,Sun,CHA,KCA,6,3,6,3,0,gioll001,Lucas Giolito,lopej004,Jorge Lopez,1
20190331,Sun,CLE,MIN,3,9,3,10.125,0,carrc003,Carlos Carrasco,pinem001,Michael Pineda,1
20190331,Sun,BAL,NYA,7,5,7,5,0,bundd001,Dylan Bundy,happj001,J.A. Happ,1
20190331,Sun,ANA,OAK,1,2,1,2.25,0,skagt001,Tyler Skaggs,montf001,Frankie Montas,1
20190331,Sun,BOS,SEA,8,10,8,11.25,0,porcr001,Rick Porcello,leblw001,Wade LeBlanc,1
20190331,Sun,HOU,TBA,1,3,1,3.375,0,milew001,Wade Miley,chiry001,Yonny Chirinos,1
20190331,Sun,CHN,TEX,10,11,10.38461538,11.42307692,0,hamec001,Cole Hamels,lynnl001,Lance Lynn,1
20190331,Sun,DET,TOR,4,3,3.272727273,2.454545455,0,moorm003,Matt Moore,thort002,Trent Thornton,1
20190401,Mon,CHN,ATL,0,8,0,9,1,hendk001,Kyle Hendricks,newcs001,Sean Newcomb,1
20190401,Mon,MIL,CIN,4,3,4,3,1,daviz001,Zach Davies,roart001,Tanner Roark,1
20190401,Mon,SFN,LAN,4,2,4,2,1,pomed001,Drew Pomeranz,uriaj001,Julio Urias,1
20190401,Mon,NYN,MIA,7,3,7,3,1,matzs001,Steven Matz,smitc006,Caleb Smith,1
20190401,Mon,SLN,PIT,6,5,4.909090909,4.090909091,0,waina001,Adam Wainwright,archc001,Chris Archer,1
20190401,Mon,ARI,SDN,10,3,10,3,1,kellm002,Merrill Kelly,stram001,Matt Strahm,1
20190401,Mon,CHA,CLE,3,5,3,5.625,0,novai001,Ivan Nova,clevm001,Mike Clevinger,1
20190401,Mon,DET,NYA,1,3,1,3.375,1,rosst001,Tyson Ross,germd001,Domingo German,1
20190401,Mon,BOS,OAK,0,7,0,7.875,1,pricd001,David Price,brooa001,Aaron Brooks,1
20190401,Mon,ANA,SEA,3,6,3,6.75,1,strac001,Chris Stratton,hernf002,Felix Hernandez,1
20190401,Mon,COL,TBA,1,7,1,7.875,1,bettc001,Chad Bettis,stanr002,Ryne Stanek,1
20190401,Mon,HOU,TEX,2,1,2,1,1,peacb001,Brad Peacock,smyld001,Drew Smyly,1
20190401,Mon,BAL,TOR,6,5,6,5,1,hessd001,David Hess,reids001,Sean Reid-Foley,1
20190402,Tue,MIL,CIN,4,3,4,3,1,chacj001,Jhoulys Chacin,desca001,Anthony DeSclafani,1
20190402,Tue,SFN,LAN,5,6,5,6.75,1,bumgm001,Madison Bumgarner,ryu-h001,Hyun-Jin Ryu,1
20190402,Tue,NYN,MIA,6,5,6,5,1,vargj001,Jason Vargas,urenj001,Jose Urena,1
20190402,Tue,ARI,SDN,8,5,8,5,1,greiz001,Zack Greinke,lauee001,Eric Lauer,1
20190402,Tue,PHI,WAS,8,2,8,2,1,efliz001,Zach Eflin,schem001,Max Scherzer,1
20190402,Tue,MIN,KCA,5,4,4.5,3.6,1,berrj001,Jose Berrios,kellb003,Brad Keller,1
20190402,Tue,DET,NYA,3,1,3,1,1,zimmj003,Jordan Zimmermann,tanam001,Masahiro Tanaka,1
20190402,Tue,BOS,OAK,0,1,0,1.125,1,salec001,Chris Sale,fierm001,Michael Fiers,1
20190402,Tue,ANA,SEA,1,2,1,2.25,1,cahit001,Trevor Cahill,gonzm005,Marco Gonzales,1
