Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,FIP,xFIP,WAR
TBA,56,31,46,603,0,772,9.62,3.05,1.18,0.284,74.60%,43.80%,13.80%,3.71,3.94,4.13,7.7
NYA,43,21,50,545,0,664.2,10.16,3.62,1.3,0.302,75.20%,44.10%,15.30%,4.08,4.15,4.15,7.6
MIN,34,22,50,524,0,573.2,9.71,2.9,1.21,0.317,71.80%,40.20%,13.40%,4.17,3.92,4.16,7.4
OAK,29,28,45,547,0,579,9.37,3.44,1.09,0.284,74.60%,37.70%,11.00%,3.89,3.98,4.6,7
BOS,34,28,33,632,0,665,10.5,4.38,1.12,0.305,71.60%,42.90%,13.00%,4.4,4.14,4.43,5.6
SDN,29,33,47,543,0,619,9.77,2.94,1.25,0.309,69.60%,45.30%,14.70%,4.59,4,4.08,5.5
SLN,36,21,52,542,0,561,9.74,3.77,1.07,0.273,73.50%,39.60%,12.00%,3.88,4.01,4.44,4.7
HOU,28,18,47,492,0,555,9.86,3.19,1.44,0.271,77.60%,43.20%,16.80%,3.75,4.24,4.06,4.4
LAN,44,24,44,545,0,552,9.47,3.03,1.19,0.266,71.10%,43.30%,13.80%,3.85,4.06,4.25,4.3
MIL,45,33,50,588,0,670.2,10.21,3.85,1.34,0.291,72.40%,44.40%,16.60%,4.4,4.31,4.16,4.1
CLE,31,18,42,522,0,507.1,9.33,3.1,1.28,0.295,77.30%,40.00%,13.10%,3.76,4.18,4.5,4
CIN,27,33,46,535,0,554.2,9.74,3.83,1.3,0.287,73.30%,42.80%,15.70%,4.28,4.3,4.26,3.8
SFN,38,19,41,587,0,620,8.87,3.4,1.07,0.284,74.90%,45.90%,12.80%,3.85,4.09,4.39,3.5
ARI,29,26,45,557,0,597.2,8.81,3.54,1.25,0.297,74.30%,45.30%,14.80%,4.26,4.4,4.46,2.9
CHA,24,21,33,536,0,574,8.48,4.25,1.27,0.285,73.00%,48.10%,15.30%,4.33,4.69,4.69,2.7
ANA,44,30,32,589,0,761.2,9.03,3.77,1.45,0.292,72.80%,42.50%,15.70%,4.64,4.71,4.66,2.5
KCA,20,33,37,520,0,565,8.65,4.3,1.16,0.324,70.80%,45.00%,13.00%,5.07,4.55,4.85,2.5
TEX,33,24,33,499,0,630,8.89,3.97,1.5,0.303,72.50%,42.50%,16.10%,4.73,4.88,4.77,2.3
TOR,41,27,33,591,0,729,9.1,3.93,1.46,0.286,76.40%,42.10%,15.40%,4.35,4.75,4.74,1.9
CHN,33,31,38,576,0,554,9.08,4.35,1.17,0.282,76.40%,48.90%,15.70%,3.98,4.54,4.5,1.3
ATL,37,19,44,575,0,577.2,9.32,3.79,1.36,0.304,74.60%,43.50%,15.30%,4.21,4.49,4.49,1.1
WAS,27,33,40,530,0,500.2,9.01,3.94,1.55,0.311,67.30%,38.70%,14.70%,5.68,4.94,5.03,0.9
PHI,32,29,36,564,0,584,9,3.64,1.57,0.3,76.40%,42.80%,18.10%,4.38,4.84,4.49,0.8
NYN,32,32,38,502,0,519.2,9.63,3.93,1.47,0.312,72.10%,40.80%,15.00%,4.99,4.71,4.75,0.7
PIT,33,30,31,550,0,626.1,9.87,4.37,1.47,0.311,71.70%,44.10%,16.20%,4.91,4.8,4.68,0.6
DET,24,33,31,577,0,641,8.61,4.13,1.56,0.304,71.20%,43.40%,16.00%,4.94,5.06,4.96,0.6
SEA,32,38,34,538,0,694.1,8.63,3.75,1.53,0.271,69.10%,44.50%,17.00%,4.77,4.87,4.65,0.4
BAL,18,32,27,533,0,654,8.6,4.06,1.73,0.309,68.40%,43.50%,18.30%,5.79,5.38,4.97,0.4
COL,26,29,28,590,0,606.1,8.36,3.95,1.59,0.3,69.60%,43.60%,16.90%,5.18,5.12,4.9,0.2
MIA,21,34,27,539,0,556.1,9.22,4.37,1.55,0.295,73.10%,37.30%,15.00%,4.97,5.06,5.1,-2.2
